,Image,F1,Jaccard,Recall,Precision
250,images\1491.png,0.8368421052631579,0.7194570135746606,0.7535545023696683,0.9408284023668639
251,images\3012.png,0.0,0.0,0.0,0.0
252,images\2566.png,0.2608695652173913,0.15,0.15,1.0
253,images\841.png,0.9377926421404682,0.8828715365239295,0.9511533242876526,0.924802110817942
254,images\2922.png,0.932633903920486,0.8737713398861873,0.9865654205607477,0.8842931937172774
255,images\2359.png,0.915606936416185,0.8443496801705757,0.9439809296781884,0.8888888888888888
256,images\1304.png,0.8718703976435935,0.7728459530026109,0.9107692307692308,0.8361581920903954
257,images\1063.png,0.8887070376432079,0.7997054491899853,0.8044444444444444,0.9926873857404022
258,images\769.png,0.8292188028407169,0.7082611207394569,0.9903069466882067,0.7132053519488074
259,images\2246.png,0.6985962014863749,0.5368020304568528,0.9337748344370861,0.558047493403694
260,images\2362.png,0.6221142162818954,0.4514991181657848,0.4514991181657848,1.0
261,images\550.png,0.8186528497409327,0.6929824561403509,0.79,0.8494623655913979
262,images\2878.png,0.9186824498198661,0.8495954307472632,0.9479553903345725,0.891163255117324
263,images\1021.png,0.8222013170272813,0.6980830670926518,0.7014446227929374,0.9931818181818182
264,images\197.png,0.9339622641509434,0.8761061946902655,0.9515418502202643,0.9170204554226168
265,images\1274.png,0.9352331606217616,0.878345498783455,0.9209183673469388,0.95
266,images\915.png,0.8605843157355203,0.7552856500224921,0.7856808610201217,0.9512747875354107
267,images\2360.png,0.813953488372093,0.6862745098039216,0.7300884955752213,0.9195859872611465
268,images\1553.png,0.8448275862068966,0.7313432835820896,0.7561728395061729,0.95703125
269,images\2262.png,0.9345047923322684,0.8770614692653673,0.9898477157360406,0.8850226928895613
270,images\2096.png,0.7487073422957601,0.5983471074380166,0.9493006993006993,0.618099032441662
271,images\2385.png,0.9132369299221357,0.8403275332650972,0.857889237199582,0.976218787158145
272,images\2073.png,0.7767642822851656,0.6350078492935636,0.8424158278375564,0.7206057007125891
273,images\979.png,0.899641577060932,0.8175895765472313,0.8581196581196581,0.9453860640301318
274,images\1658.png,0.8768115942028986,0.7806451612903226,0.8642857142857143,0.8897058823529411
275,images\864.png,0.8967723175341669,0.8128624143384291,0.8862068965517241,0.90759270158917
276,images\2571.png,0.8144020574367766,0.6869125090383225,0.8010118043844857,0.8282476024411508
277,images\1269.png,0.9298701298701298,0.8689320388349514,0.9623655913978495,0.8994974874371859
278,images\985.png,0.4688279301745636,0.30618892508143325,0.48704663212435234,0.4519230769230769
279,images\847.png,0.22197802197802197,0.12484548825710753,0.12484548825710753,1.0
280,images\1218.png,0.7072243346007605,0.5470588235294118,0.9789473684210527,0.5535714285714286
281,images\926.png,0.9103260869565217,0.8354114713216958,0.9911242603550295,0.8417085427135679
282,images\2029.png,0.8441308531109686,0.730299667036626,0.7975757575757576,0.896457765667575
283,images\559.png,0.9379310344827586,0.8831168831168831,0.9392265193370166,0.9366391184573003
284,images\16.png,0.8223844282238443,0.6983471074380165,0.949438202247191,0.7253218884120172
285,images\1972.png,0.7989949748743719,0.6652719665271967,0.6928104575163399,0.9436201780415431
286,images\2837.png,0.0,0.0,0.0,0.0
287,images\1050.png,0.9410096426545661,0.8885913229780397,0.8996746203904555,0.9863258026159334
288,images\2971.png,0.6277929155313352,0.45750595710881653,0.4596967278531524,0.9896907216494846
289,images\1988.png,0.0,0.0,0.0,0.0
290,images\949.png,0.9045751633986928,0.8257756563245824,0.9719101123595506,0.8459657701711492
291,images\2633.png,0.0,0.0,0.0,0.0
292,images\1410.png,0.825,0.7021276595744681,0.7287066246056783,0.9506172839506173
293,images\1118.png,0.9338758901322483,0.8759541984732825,0.9956616052060737,0.8793103448275862
294,images\1185.png,0.9688686408504176,0.9396170839469808,0.9615674453654861,0.9762815608263198
295,images\1726.png,0.9230769230769231,0.8571428571428571,0.9955022488755623,0.860475161987041
296,images\880.png,0.8094117647058824,0.6798418972332015,0.9772727272727273,0.6907630522088354
297,images\2951.png,0.9424280350438048,0.8911242603550296,0.980894485453756,0.90686471296668
298,images\2269.png,0.7614213197969543,0.6147540983606558,0.6896551724137931,0.8498583569405099
299,images\1555.png,0.8993963782696177,0.8171846435100548,1.0,0.8171846435100548
300,images\2968.png,0.8880526810912511,0.7986463620981388,0.8773234200743495,0.8990476190476191
301,images\948.png,0.9079861111111112,0.8314785373608903,0.8408360128617364,0.9867924528301887
302,images\262.png,0.9039787798408488,0.8247821878025169,0.9648924122310306,0.8502994011976048
303,images\2090.png,0.8580555555555556,0.7513986864509852,0.9050688543803106,0.8156852389754423
304,images\2285.png,0.4888888888888889,0.3235294117647059,0.3276299112801014,0.962756052141527
305,images\1262.png,0.8930099857346647,0.8067010309278351,1.0,0.8067010309278351
306,images\2098.png,0.0,0.0,0.0,0.0
